DateTime,Name,Country,Volatility,Actual,Previous,Consensus
12/01/2015 07:00:00,Bank Stress Test Results,United Kingdom,2,,,
12/01/2015 07:00:00,Financial Stability Report,United Kingdom,2,,,
12/01/2015 08:55:00,Unemployment Rate s.a.,Germany,3,6.300,6.400,6.400
12/01/2015 08:55:00,Unemployment Change,Germany,3,-13.000,-5.000,-5.000
12/01/2015 09:00:00,BOE's Governor Carney speech,United Kingdom,3,,,
12/01/2015 09:00:00,Unemployment,Italy,2,11.500,11.800,11.700
12/01/2015 10:00:00,Unemployment Rate,European Monetary Union,2,10.700,10.800,10.800
12/01/2015 14:34:35,GDT Price Index,New Zealand,1,3.600,-7.900,
12/01/2015 16:30:00,4-Week Bill Auction,United States,1,0.190,0.120,
12/01/2015 17:45:00,Fed's Evans Speech,United States,1,,,
12/01/2015 18:00:00,FOMC Member Brainard Speech,United States,1,,,
12/02/2015 01:00:00,FOMC Member Brainard Speech,United States,1,,,
12/02/2015 13:10:00,Fed's Lockhart speech,United States,1,,,
12/02/2015 13:15:00,ADP Employment Change,United States,2,217.000,182.000,190.000
12/02/2015 13:30:00,Unit Labor Costs,United States,1,1.800,1.400,1.100
12/02/2015 13:30:00,Fed's Yellen Speech,United States,2,,,
12/02/2015 17:25:00,Fed's Yellen Speech,United States,2,,,
12/02/2015 19:00:00,Fed's Beige Book,United States,2,,,
12/02/2015 20:40:00,FOMC Member Williams speech,United States,1,,,
12/03/2015 06:30:00,ILO Unemployment,France,1,10.600,10.300,10.600
12/03/2015 10:27:16,10-y Bond Auction,France,1,0.500,0.950,
12/03/2015 11:45:00,ECB deposit rate decision,European Monetary Union,2,-0.300,-0.200,
12/03/2015 12:30:00,Challenger Job Cuts (YoY),United States,1,30.953,50.504,
12/03/2015 13:30:00,Initial Jobless Claims,United States,2,269.000,260.000,268.000
12/03/2015 13:30:00,Continuing Jobless Claims,United States,1,2.161,2.207,2.187
12/03/2015 13:30:00,FOMC Member Mester speech,United States,1,,,
12/03/2015 13:30:00,ECB Monetary policy statement and press conference,European Monetary Union,3,,,
12/03/2015 15:00:00,Fed's Yellen testifies,United States,3,,,
12/03/2015 18:10:00,Fed's Stanley Fischer speech,United States,2,,,
12/04/2015 12:00:00,OPEC meeting,United States,1,,,
12/04/2015 13:30:00,Nonfarm Payrolls,United States,3,211.000,271.000,200.000
12/04/2015 13:30:00,Average Hourly Earnings (YoY),United States,2,2.300,2.500,
12/04/2015 13:30:00,Average Weekly Hours,United States,2,34.500,34.500,34.500
12/04/2015 13:30:00,Labor Force Participation Rate,United States,2,62.500,62.400,
12/04/2015 13:30:00,Unemployment Rate,United States,3,5.000,5.000,5.000
12/04/2015 13:30:00,Average Hourly Earnings (MoM),United States,1,0.200,0.400,0.200
"12/04/2015 21:00:00,""Fed Minneapolis's Narayana Kocherlakota speech "",United States,1,,,"
12/07/2015 00:00:00,Eurogroup meeting,European Monetary Union,2,,,
12/07/2015 08:00:00,Foreign Currency Reserves,Switzerland,1,563.000,551.000,
12/07/2015 15:00:00,Labor Market Conditions Index,United States,2,0.500,1.600,
12/07/2015 15:00:00,BOE's Governor Carney speech,United Kingdom,3,,,
12/07/2015 16:30:00,3-Month Bill Auction,United States,1,0.280,0.215,
12/07/2015 16:30:00,6-Month Bill Auction,United States,1,0.535,0.415,
12/07/2015 17:30:00,Fed's Bullard speech,United States,1,,,
12/08/2015 10:30:00,30-y Bond Auction,United Kingdom,1,2.490,2.450,
12/08/2015 15:00:00,JOLTS Job Openings,United States,1,5.383,5.526,5.500
12/08/2015 16:30:00,52-Week Bill auction,United States,1,0.740,0.500,
12/08/2015 16:30:00,4-Week Bill Auction,United States,1,0.235,0.190,
12/08/2015 18:00:00,3-Year Note Auction,United States,1,1.255,1.271,
12/09/2015 06:45:00,Unemployment Rate s.a (MoM),Switzerland,3,3.400,3.400,
12/09/2015 18:00:00,10-Year Note Auction,United States,2,2.233,2.304,
"12/09/2015 20:00:00,""Monetary Policy Statement "",New Zealand,3,,,"
12/09/2015 20:00:00,RBNZ Press Conference,New Zealand,3,,,
12/10/2015 00:10:00,RBNZ Governor Wheeler Speech,New Zealand,2,,,
12/10/2015 06:30:00,Nonfarm Payrolls (QoQ),France,1,0.000,0.100,
12/10/2015 08:30:00,SNB press conference,Switzerland,3,,,
12/10/2015 12:00:00,BoE Asset Purchase Facility,United Kingdom,3,375.000,375.000,375.000
12/10/2015 12:00:00,Monetary Policy Summary,United Kingdom,3,,,
12/10/2015 12:00:00,BOE MPC Vote Cut,United Kingdom,3,0.000,0.000,0.000
12/10/2015 12:00:00,BOE MPC Vote Hike,United Kingdom,3,1.000,1.000,1.000
12/10/2015 12:00:00,Bank of England Minutes,United Kingdom,2,,,
12/10/2015 12:00:00,BOE MPC Vote Unchanged,United Kingdom,3,8.000,8.000,8.000
12/10/2015 13:30:00,Continuing Jobless Claims,United States,1,2.243,2.161,2.152
12/10/2015 13:30:00,Initial Jobless Claims,United States,2,282.000,269.000,269.000
12/10/2015 18:00:00,30-Year Bond Auction,United States,1,2.978,3.070,
12/10/2015 18:00:00,German Buba President Weidmann speech,Germany,2,,,
12/10/2015 18:30:00,BOE's Governor Carney speech,United Kingdom,3,,,
12/11/2015 10:42:12,Targeted LTRO,European Monetary Union,2,18.300,15.500,7.500
12/11/2015 15:35:00,MPC Member Weale Speech,United Kingdom,1,,,
12/14/2015 11:00:00,ECB President Draghi's Speech,European Monetary Union,3,,,
12/14/2015 16:30:00,3-Month Bill Auction,United States,1,0.280,0.280,
12/14/2015 16:30:00,6-Month Bill Auction,United States,1,0.585,0.535,
12/15/2015 10:00:00,Employment Change (QoQ),European Monetary Union,1,0.300,0.300,
12/15/2015 10:00:00,Employment Change (YoY),European Monetary Union,1,1.100,0.800,
12/15/2015 12:00:00,BoE Quarterly Bulletin,United Kingdom,1,,,
12/15/2015 14:41:45,GDT Price Index,New Zealand,1,1.900,3.600,
12/15/2015 16:30:00,4-Week Bill Auction,United States,1,0.205,0.235,
12/16/2015 08:00:00,Non-monetary policy's ECB meeting,European Monetary Union,3,,,
12/16/2015 09:30:00,Claimant Count Rate,United Kingdom,2,2.300,2.300,2.300
12/16/2015 09:30:00,Average Earnings including Bonus (3Mo/Yr),United Kingdom,2,2.400,3.000,2.500
12/16/2015 09:30:00,Average Earnings excluding Bonus (3Mo/Yr),United Kingdom,2,2.000,2.500,2.300
